id_number,place,cat_place,age_category,sex,2.5km_seconds,5km_seconds,7.5km_seconds,total_seconds
40370,7801,1985.0,23-34,M,914.0,1631.0,2338.0,3101
40371,12940,2696.0,45-54,M,2810.0,3616.0,4386.0,3395
40372,26164,1654.0,55+,M,4634.0,5613.0,6551.0,4224
40374,6342,2025.0,35-44,M,822.0,1533.0,2227.0,3004
40376,10090,551.0,55+,M,3630.0,4422.0,5155.0,3246
40378,8651,364.0,16-19,M,3626.0,4303.0,5085.0,3157
40379,5110,1079.0,45-54,M,1647.0,2357.0,3048.0,2929
40380,9634,2347.0,23-34,M,3797.0,4568.0,5308.0,3215
40381,5654,1836.0,35-44,M,,1630.0,2322.0,2964
40382,25265,5822.0,35-44,M,,5276.0,6233.0,4147
40383,9571,2056.0,45-54,M,3565.0,4338.0,5105.0,3211
40385,7238,2266.0,35-44,M,992.0,1731.0,2441.0,3062
40386,3621,990.0,23-34,M,3585.0,4251.0,4923.0,2814
40388,29360,5608.0,23-34,M,1404.0,2473.0,3547.0,4538
40389,33335,2116.0,55+,M,4228.0,5422.0,6588.0,5319
40390,6682,1732.0,23-34,M,822.0,1574.0,2320.0,3028
40391,30372,5342.0,45-54,M,2979.0,4091.0,5165.0,4677
40392,18632,4103.0,23-34,M,4075.0,4944.0,5806.0,3686
40393,13384,3110.0,23-34,M,1984.0,2805.0,3574.0,3415
40394,25855,4737.0,45-54,M,4289.0,5299.0,6302.0,4195
40395,15067,3040.0,45-54,M,2019.0,2889.0,3671.0,3501
40397,33125,7061.0,35-44,M,2261.0,3503.0,4805.0,5233
40398,15034,3975.0,35-44,M,2022.0,2845.0,3655.0,3499
40399,33967,5740.0,45-54,M,4836.0,6410.0,7954.0,5861
40400,12871,2999.0,23-34,M,975.0,1770.0,2568.0,3391
40401,3900,1059.0,23-34,M,,4757.0,5418.0,2837
40402,149,48.0,23-34,M,527.0,1049.0,1562.0,2155
40403,25859,5139.0,23-34,M,4316.0,5317.0,6302.0,4195
40405,19549,3794.0,45-54,M,3984.0,4846.0,5684.0,3744
40406,12823,2991.0,23-34,M,4629.0,5356.0,6137.0,3388
40407,14541,2961.0,45-54,M,1133.0,1996.0,2805.0,3474
40408,9338,2005.0,45-54,M,3582.0,4332.0,5087.0,3196
40410,16041,3209.0,45-54,M,,4890.0,5688.0,3549
40411,17884,3965.0,23-34,M,,5581.0,6417.0,3641
40412,18857,4703.0,35-44,M,3795.0,4668.0,5550.0,3701
40413,23707,671.0,20-22,M,2740.0,3749.0,4742.0,4030
40414,12455,2616.0,45-54,M,,4793.0,5568.0,3370
40416,18291,4040.0,23-34,M,3791.0,4615.0,5501.0,3665
40417,5189,1699.0,35-44,M,3618.0,4289.0,4970.0,2934
40418,8570,1834.0,45-54,M,993.0,1718.0,2459.0,3152
40419,21067,4467.0,23-34,M,4061.0,4951.0,5852.0,3843
40421,833,311.0,35-44,M,3379.0,3987.0,4572.0,2445
40423,6126,1283.0,45-54,M,945.0,1654.0,2357.0,2992
40424,31026,6749.0,35-44,M,4870.0,5888.0,6852.0,4779
40425,7772,385.0,55+,M,1886.0,2637.0,3341.0,3098
40426,5242,1100.0,45-54,M,1678.0,2388.0,,2937
40430,2756,760.0,23-34,M,779.0,1439.0,2082.0,2729
40431,16282,3683.0,23-34,M,,5376.0,6221.0,3560
40432,16419,4261.0,35-44,M,4089.0,4924.0,5757.0,3565
40433,1526,571.0,35-44,M,686.0,1298.0,1899.0,2576
40434,5963,1574.0,23-34,M,3708.0,4405.0,5090.0,2982
40435,3606,1232.0,35-44,M,927.0,1617.0,2263.0,2813
40436,9063,2702.0,35-44,M,1857.0,2610.0,3343.0,3181
40437,27061,4888.0,45-54,M,,3123.0,4049.0,4303
40438,19014,4156.0,23-34,M,4237.0,5086.0,6098.0,3711
40439,1234,64.0,16-19,M,626.0,1211.0,1833.0,2520
40440,25836,5133.0,23-34,M,4690.0,5680.0,6573.0,4194
40441,12363,3430.0,35-44,M,3753.0,4544.0,5330.0,3364
40442,25974,5947.0,35-44,M,,5369.0,6354.0,4207
40443,25929,5938.0,35-44,M,4451.0,5475.0,6436.0,4201
40444,15227,3070.0,45-54,M,831.0,1689.0,2545.0,3510
40445,9232,483.0,55+,M,1709.0,2464.0,3223.0,3190
40446,27640,5374.0,23-34,M,4689.0,5652.0,6633.0,4352
40447,7873,1675.0,45-54,M,936.0,1670.0,2387.0,3106
40448,21623,4537.0,23-34,M,4109.0,5033.0,5896.0,3882
40449,11891,2808.0,23-34,M,2748.0,3551.0,4365.0,3340
40450,10738,3089.0,35-44,M,,2687.0,3472.0,3282
40451,23391,4391.0,45-54,M,4730.0,5645.0,6559.0,4006
40452,33779,2162.0,55+,M,4832.0,6231.0,7547.0,5600
40453,16307,4241.0,35-44,M,2025.0,2875.0,3736.0,3561
40454,16413,3708.0,23-34,M,4286.0,5156.0,5960.0,3565
40456,17086,4398.0,35-44,M,1907.0,2816.0,3652.0,3598
40457,30784,6707.0,35-44,M,4682.0,5748.0,6845.0,4741
40458,2960,809.0,23-34,M,649.0,1293.0,1958.0,2752
40459,19326,4785.0,35-44,M,,4839.0,5721.0,3729
40460,21159,4073.0,45-54,M,4158.0,5057.0,5948.0,3849
40461,10465,2232.0,45-54,M,,4613.0,5371.0,3266
40462,17505,3472.0,45-54,M,,5665.0,6475.0,3620
40463,17946,3977.0,23-34,M,3819.0,4707.0,5566.0,3644
40464,22123,5302.0,35-44,M,,5364.0,6283.0,3916
40466,18512,3633.0,45-54,M,1038.0,1849.0,2744.0,3678
40467,13619,2820.0,45-54,M,904.0,1708.0,2508.0,3428
40469,21491,5183.0,35-44,M,4572.0,5505.0,6348.0,3871
40470,2977,137.0,16-19,M,809.0,1451.0,2103.0,2754
40471,24725,4590.0,45-54,M,4386.0,5398.0,6348.0,4106
40472,8915,1915.0,45-54,M,906.0,1636.0,2370.0,3172
40473,27231,5326.0,23-34,M,4416.0,5468.0,6516.0,4317
40474,8783,1883.0,45-54,M,1800.0,2550.0,3285.0,3165
40475,5068,190.0,20-22,M,3450.0,4139.0,4876.0,2926
40476,27935,5003.0,45-54,M,4184.0,5219.0,6215.0,4382
40478,20987,5082.0,35-44,M,3977.0,4891.0,5757.0,3837
40479,18985,3726.0,45-54,M,1094.0,1964.0,2828.0,3709
40480,28802,6390.0,35-44,M,4187.0,5234.0,6260.0,4478
40482,20991,758.0,16-19,M,3977.0,4891.0,5757.0,3838
40483,27541,4952.0,45-54,M,4885.0,5877.0,6747.0,4345
40485,16759,3770.0,23-34,M,1982.0,2851.0,3701.0,3584
40486,23895,2157.0,23-34,F,,2468.0,3411.0,4046
40487,24126,4906.0,23-34,M,,5596.0,6523.0,4063
40488,25215,697.0,20-22,M,2982.0,3965.0,4919.0,4143
40489,16554,3306.0,45-54,M,1957.0,2782.0,3617.0,3572
40490,4319,173.0,55+,M,781.0,1477.0,2142.0,2869
40491,10874,613.0,55+,M,877.0,1643.0,2411.0,3290
40492,5360,1119.0,45-54,M,880.0,1592.0,2271.0,2946
40494,16444,4271.0,35-44,M,1441.0,2273.0,3097.0,3566
40496,7486,2324.0,35-44,M,3972.0,4702.0,5404.0,3078
40497,743,281.0,35-44,M,647.0,1228.0,1799.0,2424
40498,22152,1392.0,55+,M,4054.0,4979.0,5859.0,3918
40499,4040,1094.0,23-34,M,1791.0,2450.0,3112.0,2849
40500,2221,594.0,23-34,M,729.0,1374.0,1993.0,2670
40501,15221,921.0,55+,M,3692.0,4503.0,5341.0,3509
40502,28001,5427.0,23-34,M,4055.0,5075.0,6092.0,4390
40503,21200,5119.0,35-44,M,4156.0,5072.0,5970.0,3851
40504,10695,2269.0,45-54,M,,5350.0,6168.0,3279
40505,21249,4091.0,45-54,M,4248.0,5172.0,6028.0,3853
40506,13330,3621.0,35-44,M,2704.0,3532.0,4328.0,3413
40507,26481,4820.0,45-54,M,3964.0,4971.0,5938.0,4250
40508,13100,3049.0,23-34,M,3795.0,4616.0,5384.0,3403
40509,23353,5501.0,35-44,M,2870.0,3852.0,4800.0,4004
40510,20313,4966.0,35-44,M,,5629.0,6512.0,3792
40511,20802,4015.0,45-54,M,4390.0,5342.0,6179.0,3824
40512,21959,5273.0,35-44,M,3790.0,4734.0,5652.0,3903
40514,32471,5955.0,23-34,M,5009.0,6230.0,7527.0,5039
40515,25170,4641.0,45-54,M,,5525.0,6445.0,4140
40516,3766,1277.0,35-44,M,877.0,1551.0,2207.0,2826
40517,1185,247.0,45-54,M,697.0,1290.0,1875.0,2513
40520,30254,6619.0,35-44,M,4154.0,5255.0,6327.0,4656
40521,29136,5180.0,45-54,M,4317.0,5364.0,6500.0,4514
40522,26984,6108.0,35-44,M,1484.0,2500.0,3500.0,4295
40523,12240,431.0,20-22,M,1880.0,2655.0,3439.0,3357
40524,33751,7125.0,35-44,M,,6586.0,7722.0,5565
40525,3676,1250.0,35-44,M,2480.0,3135.0,3828.0,2819
40526,29347,6477.0,35-44,M,1633.0,2689.0,3725.0,4536
40527,5032,1333.0,23-34,M,1633.0,2328.0,3020.0,2924
40528,28080,5032.0,45-54,M,4788.0,5761.0,6738.0,4401
40529,17840,3541.0,45-54,M,4148.0,5037.0,5824.0,3638
40530,28034,5022.0,45-54,M,4259.0,5293.0,6322.0,4394
40531,33169,2100.0,55+,M,,5717.0,6853.0,5250
40532,24576,4970.0,23-34,M,,5220.0,6187.0,4095
40534,5338,1114.0,45-54,M,877.0,1593.0,2274.0,2944
40535,31220,5823.0,23-34,M,4357.0,5480.0,6573.0,4803
40536,13732,3182.0,23-34,M,,4744.0,5564.0,3434
